organization,description,part_id
org_0,ANO_635 ANO_7359 ANO_1592 ANO_2911 ANO_2824 ANO_5478 ANO_5109,id_60
org_0,ANO_6285 ANO_7359 ANO_4466 ANO_2677 ANO_5478 ANO_6726 ANO_3719,id_60
org_0,ANO_4075 ANO_3482 ANO_7838,id_56
org_0,ANO_5803 ANO_3482 ANO_2244 ANO_5607 ANO_4356,id_57
org_0,ANO_2656 ANO_5478 ANO_3800 ANO_5653 ANO_7068,id_57
org_0,ANO_5803 ANO_5478 ANO_1518 ANO_1682 ANO_2376,id_57
org_0,ANO_5296 ANO_6285 ANO_7359 ANO_1592 ANO_5692 ANO_5478 ANO_2677 ANO_3011 ANO_3675,id_60
org_0,ANO_5135 ANO_5803 ANO_5478 ANO_1278 ANO_5592 ANO_2066,id_57
org_0,ANO_5135 ANO_5803 ANO_5478 ANO_141 ANO_6306 ANO_2066,id_57
org_0,ANO_5803 ANO_3482 ANO_7344 ANO_5375 ANO_6519,id_57
org_0,ANO_5803 ANO_2802 ANO_5862 ANO_1673 ANO_7537 ANO_6636 ANO_3482,id_57
org_0,ANO_5296 ANO_1888 ANO_3482 ANO_5653 ANO_3865 ANO_89 ANO_3675,id_60
org_0,ANO_5706 ANO_4709 ANO_7511,id_55
org_0,ANO_5803 ANO_3482 ANO_2860 ANO_4463 ANO_596,id_57
org_0,ANO_4075 ANO_3482 ANO_4514 ANO_5831 ANO_1749,id_56
org_0,ANO_945 ANO_598 ANO_215,id_8
org_0,ANO_2656 ANO_5478 ANO_3994 ANO_4632 ANO_5059,id_57
org_0,ANO_3486,id_11
org_0,ANO_5296 ANO_3629 ANO_7009 ANO_4183 ANO_1119 ANO_5080 ANO_136,id_58
org_0,ANO_5296 ANO_1483 ANO_6916 ANO_3482 ANO_2677 ANO_5109 ANO_2329,id_60
org_0,ANO_5803 ANO_3482 ANO_2409 ANO_5918 ANO_7462,id_57
org_0,ANO_5706 ANO_6627 ANO_7511,id_55
org_0,ANO_5135 ANO_5803 ANO_5478 ANO_7998 ANO_1839 ANO_2066,id_57
org_0,ANO_5803 ANO_3482 ANO_4467 ANO_4492 ANO_2794,id_57
org_0,ANO_5803 ANO_3482 ANO_11 ANO_6103 ANO_596,id_57
