organization,part_id,total_count,correct_count,incorrect_count,correct_percentage,avg_correct_percentage
org_0,id_61,2,1,1,50.0,93.13722369584438
org_0,id_67,3,3,0,100.0,93.13722369584438
org_0,id_8,10,9,1,90.0,93.13722369584438
org_0,id_56,25,25,0,100.0,93.13722369584438
org_0,id_11,26,25,1,96.15384615384616,93.13722369584438
org_0,id_59,29,28,1,96.55172413793103,93.13722369584438
org_0,id_58,75,74,1,98.66666666666667,93.13722369584438
org_0,id_55,93,93,0,100.0,93.13722369584438
org_0,id_57,352,352,0,100.0,93.13722369584438
org_0,id_60,435,435,0,100.0,93.13722369584438
org_1,id_17,2,1,1,50.0,93.45134337115442
org_1,id_211,2,2,0,100.0,93.45134337115442
org_1,id_228,2,2,0,100.0,93.45134337115442
org_1,id_236,2,2,0,100.0,93.45134337115442
org_1,id_27,2,2,0,100.0,93.45134337115442
org_1,id_222,3,3,0,100.0,93.45134337115442
org_1,id_75,3,3,0,100.0,93.45134337115442
org_1,id_120,4,4,0,100.0,93.45134337115442
org_1,id_13,4,3,1,75.0,93.45134337115442
org_1,id_12,5,5,0,100.0,93.45134337115442
org_1,id_223,5,4,1,80.0,93.45134337115442
org_1,id_224,5,5,0,100.0,93.45134337115442
org_1,id_237,5,1,4,20.0,93.45134337115442
org_1,id_216,6,5,1,83.33333333333334,93.45134337115442
org_1,id_231,8,8,0,100.0,93.45134337115442
org_1,id_207,9,9,0,100.0,93.45134337115442
org_1,id_234,9,9,0,100.0,93.45134337115442
org_1,id_201,11,11,0,100.0,93.45134337115442
org_1,id_204,11,11,0,100.0,93.45134337115442
org_1,id_219,11,10,1,90.9090909090909,93.45134337115442
org_1,id_230,11,11,0,100.0,93.45134337115442
org_1,id_218,12,11,1,91.66666666666666,93.45134337115442
org_1,id_8,12,12,0,100.0,93.45134337115442
org_1,id_220,14,14,0,100.0,93.45134337115442
org_1,id_202,17,17,0,100.0,93.45134337115442
org_1,id_73,17,14,3,82.35294117647058,93.45134337115442
org_1,id_6,19,18,1,94.73684210526315,93.45134337115442
org_1,id_203,21,21,0,100.0,93.45134337115442
org_1,id_217,23,22,1,95.65217391304348,93.45134337115442
org_1,id_225,24,21,3,87.5,93.45134337115442
org_1,id_205,30,30,0,100.0,93.45134337115442
org_1,id_213,31,31,0,100.0,93.45134337115442
org_1,id_206,34,34,0,100.0,93.45134337115442
org_1,id_210,37,37,0,100.0,93.45134337115442
org_1,id_226,49,49,0,100.0,93.45134337115442
org_1,id_11,69,69,0,100.0,93.45134337115442
org_1,id_209,104,104,0,100.0,93.45134337115442
org_1,id_208,133,133,0,100.0,93.45134337115442
org_10,id_11,5,5,0,100.0,99.81684981684981
org_10,id_59,5,5,0,100.0,99.81684981684981
org_10,id_307,14,14,0,100.0,99.81684981684981
org_10,id_671,58,58,0,100.0,99.81684981684981
org_10,id_673,91,90,1,98.9010989010989,99.81684981684981
org_10,id_672,188,188,0,100.0,99.81684981684981
org_11,id_70,6,6,0,100.0,98.98793859649123
org_11,id_8,7,7,0,100.0,98.98793859649123
org_11,id_11,9,9,0,100.0,98.98793859649123
org_11,id_6,13,13,0,100.0,98.98793859649123
org_11,id_69,19,18,1,94.73684210526315,98.98793859649123
org_11,id_71,50,49,1,98.0,98.98793859649123
org_11,id_68,120,119,1,99.16666666666667,98.98793859649123
org_11,id_60,128,128,0,100.0,98.98793859649123
org_12,id_17,2,1,1,50.0,92.88553100666104
org_12,id_572,2,2,0,100.0,92.88553100666104
org_12,id_574,2,1,1,50.0,92.88553100666104
org_12,id_575,2,2,0,100.0,92.88553100666104
org_12,id_577,2,2,0,100.0,92.88553100666104
org_12,id_584,2,2,0,100.0,92.88553100666104
org_12,id_586,2,2,0,100.0,92.88553100666104
org_12,id_591,2,2,0,100.0,92.88553100666104
